id,item,open,high,low,close,up_or_down,version_date,mapping,date_number,year_number,month_number,day_number,refresh_date
10667,Au9999,248.5,249.2,246.7,247.78,0.89,2014-01-27,1.0,127,2014,1,27,2023-01-24 16:54:24
10674,Au9999,247.79,247.79,245.9,245.9,-1.88,2014-01-28,-1.0,128,2014,1,28,2023-01-24 16:54:24
10682,Au9999,239.0,239.83,236.36,236.46,-2.31,2013-12-31,-1.0,1231,2013,12,31,2023-01-24 16:54:24
10688,Au9999,238.85,242.3,238.85,242.3,5.84,2014-01-02,1.0,102,2014,1,2,2023-01-24 16:54:24
10696,Au9999,242.3,243.96,240.5,243.8,1.5,2014-01-03,1.0,103,2014,1,3,2023-01-24 16:54:24
10704,Au9999,242.5,246.0,242.15,245.39,1.59,2014-01-06,1.0,106,2014,1,6,2023-01-24 16:54:24
10712,Au9999,245.6,246.38,244.8,245.79,0.4,2014-01-07,1.0,107,2014,1,7,2023-01-24 16:54:24
10720,Au9999,245.79,245.79,241.8,241.95,-3.84,2014-01-08,-1.0,108,2014,1,8,2023-01-24 16:54:24
10727,Au9999,242.96,243.49,241.28,241.82,-0.13,2014-01-09,-1.0,109,2014,1,9,2023-01-24 16:54:24
10735,Au9999,243.0,244.0,241.7,243.0,1.18,2014-01-10,1.0,110,2014,1,10,2023-01-24 16:54:24
10743,Au9999,243.59,246.65,242.6,246.5,3.5,2014-01-13,1.0,113,2014,1,13,2023-01-24 16:54:24
10751,Au9999,245.95,246.5,245.0,246.34,-0.16,2014-01-14,-1.0,114,2014,1,14,2023-01-24 16:54:24
10759,Au9999,243.58,246.0,242.5,245.55,2.8,2013-12-17,1.0,1217,2013,12,17,2023-01-24 16:54:24
10766,Au9999,245.55,245.55,242.34,243.06,-2.49,2013-12-18,-1.0,1218,2013,12,18,2023-01-24 16:54:24
10772,Au9999,243.06,243.06,240.45,241.0,-2.06,2013-12-19,-1.0,1219,2013,12,19,2023-01-24 16:54:24
10778,Au9999,241.0,241.0,235.4,236.37,-4.63,2013-12-20,-1.0,1220,2013,12,20,2023-01-24 16:54:24
10784,Au9999,237.85,238.88,235.52,238.77,2.4,2013-12-23,1.0,1223,2013,12,23,2023-01-24 16:54:24
10791,Au9999,238.77,238.77,237.3,237.62,-1.15,2013-12-24,-1.0,1224,2013,12,24,2023-01-24 16:54:24
10798,Au9999,238.01,239.5,237.8,238.99,1.37,2013-12-25,1.0,1225,2013,12,25,2023-01-24 16:54:24
10805,Au9999,239.38,252.0,238.5,239.29,0.3,2013-12-26,1.0,1226,2013,12,26,2023-01-24 16:54:24
10812,Au9999,239.9,241.47,167.5,240.5,1.21,2013-12-27,1.0,1227,2013,12,27,2023-01-24 16:54:24
10819,Au9999,240.3,241.48,238.66,238.77,-1.73,2013-12-30,-1.0,1230,2013,12,30,2023-01-24 16:54:24
10826,Au9999,245.8,245.8,241.32,242.18,-3.62,2013-12-03,-1.0,1203,2013,12,3,2023-01-24 16:54:24
