version_date,title,brief,keyword,url
2023-01-15 20:55:59,新华时评：中非真实亲诚合作关系不断迈上新台阶,新年伊始，非洲大陆迎来如期而至的中国外交部长。1月9日至16日，中国外长秦刚应邀访问埃塞俄比亚、加蓬、安哥拉、贝宁、埃及和非盟总部、阿盟总部，延续中国外长连续33年年初首访非洲的优良传统。这体现了中非深厚的传统友谊，也见证着中非真实亲诚合作关系不断迈上新台阶。,中非关系 中非合作论坛 安哥拉,https://news.cctv.com/2023/01/15/ARTIpl14CjM6AmCGYftzlcA4230115.shtml
2023-01-15 20:49:19,巴媒点赞中土合作与“一带一路”：“进步与繁荣之道”,近日，《巴基斯坦观察家报》网站刊发巴基斯坦地缘政治学者马哈茂德·乌尔·哈桑·汗博士（Dr. Mehmood Ul Hassan Khan）的署名评论文章：《“一带一路”与土库曼斯坦：进步与繁荣之道》。文章以不久前土库曼斯坦总统谢尔达尔·别尔德穆哈梅多夫访华、习近平主席与别尔德穆哈梅多夫总统共同宣布将中土关系提升为全面战略伙伴关系为背景，高度评价共建“一带一路”倡议为中土两国友好交往、互利共荣作出的积极贡献。,一带一路 合作伙伴 土库曼斯坦,https://news.cctv.com/2023/01/15/ARTIlhikvIf5dX7dF0DLYlqj230115.shtml
2023-01-15 19:59:49,新华时评：面对未来挑战，世界凝心方可全球聚力,2023年世界经济论坛年会（达沃斯论坛）将于16日至20日在瑞士小镇达沃斯举办。这是该论坛年会自新冠疫情暴发后首次回归传统方式于1月份以线下方式举行。本届年会的主题——“在分裂的世界中加强合作”——既道出了世界面临的严重危机，也指明了克服危机的唯一出路。,世界经济论坛 新华时评 施瓦布,https://news.cctv.com/2023/01/15/ARTIiASLiNs1GkXY7r85HhSn230115.shtml
2023-01-15 19:53:18,中国国家卫健委主任马晓伟与世卫总干事谭德塞通电话,据中国国家卫生健康委员会网站14日消息，当天，国家卫健委主任马晓伟与世界卫生组织总干事谭德塞通电话，主要就当前疫情防控工作交换意见，副主任曹雪涛陪同参加。,国家卫健委 谭德塞 马晓伟 疫情防控,https://news.cctv.com/2023/01/15/ARTI3WrCGTcmZQyxrtTtplsu230115.shtml
2023-01-15 19:41:41,东西问丨短评：疫情歧视和偏见几时休？,近期，中国发布新冠病毒感染乙类乙管总体方案和中外人员往来暂行措施，优化调整疫情防控措施。,疫情防控 毒株 替罪羊,https://news.cctv.com/2023/01/15/ARTIxEdDvW2ACzvM4aT0ATuC230115.shtml
2023-01-15 17:32:54,美国油气业借乌克兰危机大发横财,乌克兰危机升级已近一年。美国推动欧洲盟友对俄罗斯实施严厉经济制裁乃至能源禁运，试图扼住俄经济命脉，其结果严重扰乱全球能源供应链。国际观察人士认为，欧洲国家高度依赖俄能源供应，因推动对俄能源“脱钩”而遭遇更严重能源危机，美国能源企业却借机向欧洲大量出售高价油气，赚得盆满钵满。,美国能源 外交政策 乌克兰,https://news.cctv.com/2023/01/15/ARTI83sLTy6kzSxuu4yaW86L230115.shtml
2023-01-15 17:32:19,德国缺“气”急建码头 美国渔利横财滚滚,2022年末，德国启用以前所未有的速度高效建成的首个液化天然气接收码头，以应对乌克兰危机升级后德国面临的巨大能源缺口。本月初，这个码头接收来自美国的第一艘天然气运载船。,美国能源 外交政策 液化天然气,https://news.cctv.com/2023/01/15/ARTIGvyM6kQPNxE3RfuGblLr230115.shtml
2023-01-15 17:30:59,美财长警告国会：政府将触及债务上限，应尽快采取行动！,美国财政部当地时间13日表示，美国政府预计将于本月19日达到债务上限，呼吁国会及时采取行动防止美国违约，否则将对经济、民生，乃至全球金融稳定造成严重影响。,债务上限 美财长 政客,https://news.cctv.com/2023/01/15/ARTIoWhSYUIDKY9bGScvymHI230115.shtml
2023-01-15 17:28:45,美国再现种族歧视事件！18岁女孩因是“亚洲人”被连刺多刀,日前，美国再发生种族歧视事件。据美联社报道，一名56岁的女子因在印第安纳州布卢明顿市公交车上多次刺向一名18岁亚裔女孩的头部而被捕，被控谋杀未遂和严重伤害罪。,女孩 亚洲人 种族歧视,https://news.cctv.com/2023/01/15/ARTIS1mwUWSwBiBAArms8Imn230115.shtml
2023-01-15 16:23:46,尼泊尔博克拉空难现场已发现40具遇难者遗体,当地时间1月15日，尼泊尔航空管理部门发言人称，尼泊尔博克拉空难现场已找到40具遇难者遗体。,博克拉 尼泊尔 遇难者遗体,https://news.cctv.com/2023/01/15/ARTIvDeghyVBT1zKjvSKfxzV230115.shtml
2023-01-15 16:10:43,尼泊尔一客机坠毁 至少36人遇难,尼泊尔政府官员15日说，尼泊尔雪人航空公司一架搭载72人的客机当天在尼中部博克拉地区坠毁，目前已找到36具遗体。,尼泊尔 客机 36人遇难,https://news.cctv.com/2023/01/15/ARTIVmtxyMzV0e4dfSxPf1zq230115.shtml
2023-01-15 16:03:24,尼泊尔坠毁客机上搭载10名外籍乘客,当地时间1月15日，尼泊尔雪人航空公司发言人称，在尼泊尔博克拉坠毁的YT691次航班上有10名外籍乘客，其中包括2名婴儿。,坠毁 尼泊尔 客机,https://news.cctv.com/2023/01/15/ARTIFKaoElZWd7bfP4bAiSJM230115.shtml
2023-01-15 15:34:07,尼泊尔一架搭载72人的客机坠毁 博克拉机场已关闭,据尼泊尔媒体报道，当地时间1月15日上午，尼泊尔雪人航空公司一架从加德满都飞往博克拉的ATR-72型客机在博克拉旧机场和新机场之间的位置坠毁。坠毁客机上载有68名乘客和4名机组人员。,坠毁 博克拉 尼泊尔,https://news.cctv.com/2023/01/15/ARTIhAiKAMnLG1sroI2jJfkn230115.shtml
2023-01-15 14:42:33,尼泊尔官员说一架搭载72人的尼泊尔客机当天在该国博克拉地区坠毁,尼泊尔官员15日说，一架搭载72人的尼泊尔客机当天在该国博克拉地区坠毁。,尼泊尔 坠毁 客机,https://news.cctv.com/2023/01/15/ARTI1XdvwKKGucoiSGehtQRP230115.shtml
2023-01-15 14:27:45,日本多数国民反对核污染水排海方案,日本政府13日称，“今年春夏之际”开始向海洋排放经处理过的福岛第一核电站核污染水。消息一出就引发来自日本国内的反对声浪，尤其是渔业从业者对政府的决定深感不安。,核污染 水排 日本政府,https://news.cctv.com/2023/01/15/ARTI0t982Rq9cuL45LizXg5l230115.shtml
2023-01-15 14:27:36,伦敦街头枪击案致6人受伤,英国伦敦警方证实，伦敦街头14日下午发生一起枪击案，致使6人受伤，其中包括两名女孩。,枪击事件 枪击案 受伤,https://news.cctv.com/2023/01/15/ARTInIuVm0pEE5L2vvTbKCX9230115.shtml
2023-01-15 11:33:06,法国发行兔年生肖纪念邮票,为迎接中国农历新年，法国邮政公司14日在巴黎举行中国兔年生肖纪念邮票发行仪式。中国兔年生肖纪念邮票共两款，由法国华人艺术家陈江洪设计。新华社记者 高静 摄,法国 兔年 生肖纪念邮票,https://photo.cctv.com/2023/01/15/PHOAAz1FBr3Ymn6Il3QtL8No230115.shtml
2023-01-15 06:53:17,德国缺“气”急建码头 美国渔利横财滚滚,海外市场需求激增让美国大型能源公司赚得盆满钵满。去年前9个月，美国页岩油气企业切萨皮克能源公司盈利达到13亿美元。同时，美国另一能源巨头雪佛龙股价去年底较年初上涨50.5%。,液化天然气 油气来源 美国能源 码头 德国 能源公司 能源危机 进口量 天然气供应 股价,https://news.cctv.com/2023/01/15/ARTI5s6sKjQEFKRa66gmz51F230115.shtml
2023-01-14 20:51:20,【驻华大使谈中国经济】“欢迎中国企业赴叙利亚投资”,“我祝愿中国不断发展进步，中国人民生活越来越安宁、富足，因为中国发展会给世界带来繁荣，特别是给发展中国家带来繁荣。”叙利亚驻华大使穆·哈桑内·哈达姆近日接受海外网采访时表示，随着中国优化调整防疫政策，当前中国很多社会活动得到恢复。,叙利亚 驻华大使 旅游企业,https://news.cctv.com/2023/01/14/ARTIMYx9vLiQpVP9Ue3SiELK230114.shtml
